#value	pattern_data	pattern_string	frequency
354	3,69,256	3|O.X|...|X.X|	25781
355	3,335,7	3|X.X|..X|###|	25669
356	3,40,7	3|...|X.X|OOO|	25636
357	3,5,170	3|.O.|O.O|XOX|	25619
358	3,327,143	3|XOX|..O|###|	25590
359	3,3,300	3|O..|O.O|OXX|	25480
360	3,41,320	3|O.O|X.X|..X|	25424
361	3,109,457	3|OO#|X.#|X.#|	25212
362	3,106,384	3|OOX|X.X|.X.|	25202
363	3,7,328	3|O.O|..O|XXX|	25183
364	3,41,384	3|OO.|X.X|..X|	25175
365	3,69,2	3|..X|...|XOX|	25143
366	3,7,40	3|...|O.O|XXX|	25140
367	3,5,138	3|.O.|..O|XOX|	25023
368	3,171,68	3|.XO|X.X|OXX|	25018
369	3,5,320	3|O.O|...|X.X|	25017
370	3,13,448	3|OOO|..X|X.X|	24965
371	3,5,104	3|..O|O.O|X.X|	24868
372	3,109,256	3|O.X|X.X|X.X|	24719
373	3,7,320	3|O.O|...|XXX|	24632
374	3,15,64	3|..O|..X|XXX|	24617
375	3,2,108	3|..O|O.O|OX.|	24603
376	3,1,364	3|O.O|O.O|O.X|	24603
377	3,1,108	3|..O|O.O|O.X|	24586
378	3,10,37	3|...|O.X|OXO|	24545
379	3,108,1	3|..X|X.X|X.O|	24475
380	3,98,0	3|..X|X..|.X.|	24458
381	3,14,352	3|O.O|O.X|XX.|	24454
382	3,5,106	3|..O|O.O|XOX|	24434
383	3,2,169	3|.O.|O.O|.XO|	24425
384	3,2,141	3|.O.|..O|OXO|	24388
385	3,2,77	3|..O|..O|OXO|	24306
386	3,7,224	3|.OO|O..|XXX|	24242
387	3,3,172	3|.O.|O.O|OXX|	24222
388	3,70,8	3|..X|..O|XX.|	24031
389	3,238,1	3|.XX|X.X|XXO|	23984
390	3,79,361	3|O.#|O.#|XX#|	23933
391	3,14,448	3|OOO|..X|XX.|	23857
392	3,71,160	3|.OX|O..|XXX|	23762
393	3,2,45	3|...|O.O|OXO|	23687
394	3,5,448	3|OOO|...|X.X|	23638
395	3,7,463	3|OOO|..O|###|	23493
396	3,70,9	3|..X|..O|XXO|	23474
397	3,99,8	3|..X|X.O|.XX|	23404
398	3,7,360	3|O.O|O.O|XXX|	23401
399	3,175,320	3|OXO|X.X|XXX|	23357
400	3,3,452	3|OOO|...|OXX|	23234
401	3,45,448	3|OOO|X.X|X.X|	23208
402	3,2,69	3|..O|...|OXO|	23177
403	3,109,2	3|..X|X.X|XOX|	23019
404	3,12,258	3|O..|..X|XO.|	23012
405	3,71,384	3|OOX|...|XXX|	22958
406	3,3,356	3|O.O|O..|OXX|	22924
407	3,2,109	3|..O|O.O|OXO|	22789
408	3,10,356	3|O.O|O.X|OX.|	22777
409	3,108,2	3|..X|X.X|XO.|	22681
410	3,0,78	3|..O|..O|OO.|	22667
411	3,1,98	3|..O|O..|.OX|	22623
412	3,5,74	3|..O|..O|XOX|	22618
413	3,71,288	3|O.X|O..|XXX|	22546
414	3,3,388	3|OO.|...|OXX|	22473
415	3,15,224	3|.OO|O.X|XXX|	22447
416	3,14,480	3|OOO|O.X|XX.|	22432
417	3,45,2	3|...|X.X|XOX|	22393
418	3,15,199	3|.OO|..X|###|	22327
419	3,367,73	3|X.#|X.#|XX#|	22253
420	3,42,68	3|..O|X.X|OX.|	22136
421	3,3,228	3|.OO|O..|OXX|	22040
422	3,78,0	3|..X|..X|XX.|	21883
423	3,106,128	3|.OX|X.X|.X.|	21820
424	3,13,96	3|..O|O.X|X.X|	21686
425	3,12,65	3|..O|..X|X.O|	21604
426	3,97,2	3|..X|X..|.OX|	21528
427	3,78,288	3|O.X|O.X|XX.|	21490
428	3,13,288	3|O..|O.X|X.X|	21476
429	3,68,42	3|..X|O.O|XO.|	21305
430	3,41,68	3|..O|X.X|O.X|	21285
431	3,0,79	3|..O|..O|OOO|	21156
432	3,11,32	3|...|O.X|.XX|	21070
433	3,239,256	3|OXX|X.X|XXX|	20958
434	3,14,224	3|.OO|O.X|XX.|	20950
435	3,3,324	3|O.O|...|OXX|	20884
436	3,12,226	3|.OO|O.X|XO.|	20842
437	3,1,294	3|O..|O..|OOX|	20824
438	3,2,97	3|..O|O..|.XO|	20741
439	3,2,457	3|OOO|..O|.XO|	20741
440	3,79,0	3|..X|..X|XXX|	20713
441	3,98,1	3|..X|X..|.XO|	20664
442	3,2,361	3|O.O|O.O|.XO|	20656
443	3,3,384	3|OO.|...|.XX|	20647
444	3,3,76	3|..O|..O|OXX|	20632
445	3,0,108	3|..O|O.O|O..|	20437
446	3,10,257	3|O..|..X|.XO|	20391
447	3,79,32	3|..X|O.X|XXX|	20354
